Date,Open,High,Low,Close,Volume
2018-04-29T17:09:00.000Z,9246.7,9246.8,9233,9233,11.9323231
2018-04-29T17:10:00.000Z,9233,9244.6,9233,9240.7,15.08315315
2018-04-29T17:11:00.000Z,9241,9246.9,9240,9246.9,13.79938121
2018-04-29T17:12:00.000Z,9246.8,9261,9246.8,9260,12.93218985
2018-04-29T17:13:00.000Z,9260,9270,9260,9268.7,15.88512927
2018-04-29T17:14:00.000Z,9266.5,9266.5,9260.8,9260.8,10.84070114
2018-04-29T17:15:00.000Z,9260.8,9261.3,9260.7,9261.3,2.51270234
2018-04-29T17:16:00.000Z,9261.3,9280,9261.3,9279.9,9.21629595
2018-04-29T17:17:00.000Z,9280,9280,9270.3,9274.1,9.10664424
2018-04-29T17:18:00.000Z,9273.3,9273.3,9264.7,9268.4,3.91300754
2018-04-29T17:19:00.000Z,9267.6,9280,9267.6,9277,10.80716505
2018-04-29T17:20:00.000Z,9277.8,9292.01661,9269.8,9282,25.5602048
2018-04-29T17:21:00.000Z,9279.5,9281.9,9275.1,9275.1,8.33641525
2018-04-29T17:22:00.000Z,9278.8,9278.8,9278.7,9278.8,0.21297
2018-04-29T17:23:00.000Z,9278.8,9285,9278.8,9285,4.33174952
2018-04-29T17:24:00.000Z,9285,9285,9280.7,9281.3,1.23280878
2018-04-29T17:25:00.000Z,9280.7,9280.7,9280,9280,3.62320654
2018-04-29T17:26:00.000Z,9280.1,9280.1,9279,9279,2.1938767
2018-04-29T17:27:00.000Z,9279,9279.1,9270,9270.1,11.52501365
2018-04-29T17:28:00.000Z,9270.1,9271,9268.4,9270.9,8.30297689
2018-04-29T17:29:00.000Z,9270.9,9271,9270.9,9270.9,1.31654144
2018-04-29T17:30:00.000Z,9270.9,9271,9270,9270.6,6.9286846
2018-04-29T17:31:00.000Z,9270.6,9270.7,9270.6,9270.6,3.97314467
2018-04-29T17:32:00.000Z,9270.7,9274.9,9270.6,9274.9,4.70734789
2018-04-29T17:33:00.000Z,9280,9280,9265.5,9270.3,23.67087206
2018-04-29T17:34:00.000Z,9270.3,9270.3,9265.4,9268.9,5.22119259
2018-04-29T17:35:00.000Z,9268.9,9268.9,9263.2,9267.9,9.93005715
2018-04-29T17:36:00.000Z,9267.9,9269.9,9267.8,9268.3,21.30557067
2018-04-29T17:37:00.000Z,9268.3,9268.4,9262.8,9263.2,6.02093489
2018-04-29T17:38:00.000Z,9263.1,9263.2,9260,9261.4,12.78843047
2018-04-29T17:39:00.000Z,9261.3,9264.8,9261.3,9262.4,3.75231548
2018-04-29T17:40:00.000Z,9262.5,9265.2,9262.4,9265.2,4.3868251
2018-04-29T17:41:00.000Z,9267.1,9277.9,9267.1,9277.9,2.87405607
2018-04-29T17:42:00.000Z,9277.9,9318.69465,9277.8,9309.5,99.06949427
2018-04-29T17:43:00.000Z,9310.7,9330.9,9310.7,9329,26.31348612
2018-04-29T17:44:00.000Z,9328.7,9328.8,9312.520666,9318.7,12.63159697
2018-04-29T17:45:00.000Z,9320,9320,9319.9,9319.9,2.0390132
2018-04-29T17:46:00.000Z,9319.9,9320,9315.7,9315.8,5.90054522
2018-04-29T17:47:00.000Z,9315.7,9315.7,9310.6,9310.6,1.73784841
2018-04-29T17:48:00.000Z,9310.6,9310.6,9301.8,9301.8,0.57952774
2018-04-29T17:49:00.000Z,9301.8,9306.3,9301.8,9305.9,8.39127897
2018-04-29T17:50:00.000Z,9305.9,9314,9305.9,9313.8,6.5692728
2018-04-29T17:51:00.000Z,9313.9,9313.9,9309.4,9309.4,7.12228186
2018-04-29T17:52:00.000Z,9309.4,9314.4,9309.4,9314.4,2.14819705
2018-04-29T17:53:00.000Z,9314.3,9314.4,9314.3,9314.4,0.53068753
2018-04-29T17:54:00.000Z,9314.4,9321.2,9314.4,9321.2,8.14190548
2018-04-29T17:55:00.000Z,9321.2,9327.6,9321.2,9327.1,12.15618999
2018-04-29T17:56:00.000Z,9327.1,9327.1,9326,9326,1.92248465
2018-04-29T17:56:00.000Z,9327.1,9327.1,9326,9326,1.92248465
2018-04-29T17:57:00.000Z,9326.1,9326.1,9326,9326.1,6.57277342
2018-04-29T17:58:00.000Z,9326.1,9326.1,9322,9323,4.99783689
2018-04-29T17:59:00.000Z,9323,9323,9322,9322.2,0.48042181
2018-04-29T18:00:00.000Z,9322.11409,9322.11409,9311,9311.074393,14.35191208
2018-04-29T18:01:00.000Z,9311.074393,9311.074393,9311,9311.074393,3.55022806
2018-04-29T18:02:00.000Z,9311.074393,9311.1,9311,9311.1,1.89352764
2018-04-29T18:03:00.000Z,9311.1,9311.1,9311.1,9311.1,2.14798864
2018-04-29T18:04:00.000Z,9311.074393,9311.1,9310.2,9310.225186,1.89840626
2018-04-29T18:05:00.000Z,9310.225186,9310.225186,9310.2,9310.2,2.82125043
2018-04-29T18:06:00.000Z,9310.225186,9310.3,9310.2,9310.3,2.68451295
2018-04-29T18:07:00.000Z,9310.3,9310.3,9310.2,9310.225186,1.41434806
2018-04-29T18:08:00.000Z,9310.225186,9310.225186,9310.2,9310.2,3.16327555
2018-04-29T18:09:00.000Z,9310.2,9310.3,9310.2,9310.3,7.30520024
2018-04-29T18:10:00.000Z,9310.3,9310.4,9310.3,9310.346501,4.33936279
2018-04-29T18:11:00.000Z,9310.346501,9310.4,9310.3,9310.4,3.00187331
